record_no,Name,Type,PostalCode,Address,location
0,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",608549,"50 JURONG GATEWAY ROAD, JEM, #04-30","{'lat': 1.3332002104, 'lng': 103.7431704363}"
1,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",529510,4 TAMPINES CENTRAL 5,"{'lat': 1.3526723159, 'lng': 103.9443879873}"
2,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",188024,230 VICTORIA STREET,"{'lat': 1.2998163898000001, 'lng': 103.8559235632}"
3,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",608549,"50 JURONG GATEWAY RD, JEM, #B1-21/22 & #B3-01","{'lat': 1.3332002104, 'lng': 103.7431704363}"
4,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",609601,2 JURONG EAST STREET 21,"{'lat': 1.3348984372000001, 'lng': 103.7467344968}"
5,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",609731,2 JURONG EAST CENTRAL 1,"{'lat': 1.3333303994, 'lng': 103.7401672344}"
6,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",640602,602 JURONG WEST ST 65,"{'lat': 1.3392533961, 'lng': 103.7002192033}"
7,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",689812,"21 CHOA CHU KANG AVE 4, WALKWAY BESIDE MCDONALD\'S","{'lat': 1.3850683567, 'lng': 103.7449503842}"
8,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",89774,101 CANTONMENT ROAD,"{'lat': 1.27616698, 'lng': 103.84158421}"
9,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",98633,1 HARBOURFRONT PLACE,"{'lat': 1.2649975882, 'lng': 103.8190270684}"
10,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",99253,1 MARITIME SQUARE,"{'lat': 1.2620633641999999, 'lng': 103.8187325656}"
11,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",168730,298 TIONG BAHRU ROAD,"{'lat': 1.2863085297999999, 'lng': 103.828004848}"
